,AAPL,DIS,GE,HD,JPM,LLY,NEE,SHW,WMT,WY,XOM
1994-01-03,0.012816736323487654,0.0519562122585913,0.0362847563079352,7.471360805337796e-19,0.0,0.05534650682516498,0.5455236756762587,0.08380994943808782,1.3605710485572012e-18,0.0012415734910250732,0.21302058967944915
1994-02-01,0.014048672671907651,0.05125506683347831,0.03708342304371183,5.384721124382296e-19,0.0,0.05557832616043865,0.5320766120878563,0.08513462575389778,1.2184202313143174e-18,0.003972222510997824,0.22085105093771165
1994-03-01,0.014824821384440974,0.05346303050911871,0.03598758142303498,5.499730464991536e-19,0.0,0.05749585304695563,0.522139017254159,0.08666072983957834,1.3004610260862272e-18,0.0025714615376363124,0.2268575050050761
1994-04-04,0.013210781060861888,0.052455833590056636,0.03335002497679346,4.604424673728543e-19,0.0,0.06047558243718077,0.5175204751428856,0.08736257903429599,1.170497361844459e-18,0.003527074182441695,0.23209764957548393
1994-05-02,0.01285240613504438,0.052826622210183444,0.04225160214642989,3.7419794690052766e-19,0.0,0.06180880867765342,0.5048304306110427,0.08732041553081402,1.0227525033498853e-18,0.0018855640387071392,0.23622415065012503
1994-06-01,0.011732459979434184,0.05919926078593356,0.06161460443286863,2.902712450221287e-19,2.513886926969595e-19,0.09027222929606811,0.40126357790482586,0.09396132491172762,6.571087164118042e-19,0.0095692561951759,0.27238728649396615
1994-07-01,0.012357843722352243,0.05888168905603125,0.0621609849428455,2.5176737145879494e-19,2.2038541114642637e-19,0.09411785048918368,0.3946170792824102,0.09628909635063386,6.151584521603954e-19,0.01130719352563374,0.2702682626309096
1994-08-01,0.011554843723284929,0.06054106183331491,0.06643944396824558,2.261860335903848e-19,2.1670045228085505e-19,0.08861956650878752,0.3879628993821251,0.09536388717336687,5.541846840874888e-19,0.011857060059028358,0.27766123735184695
1994-09-01,0.011972750901256749,0.05550054872966082,0.06985521125497977,2.4157444181110635e-19,2.095423210298603e-19,0.08955507761429603,0.38662853138489217,0.09650543400022354,5.263445962320578e-19,0.012865408025934022,0.27711703808875704
1994-10-03,0.010782838234413198,0.05525215384805766,0.07534380131258558,2.3499158273501627e-19,2.1863418599072025e-19,0.09046191114386944,0.38272837169779994,0.0950294175285029,4.957177217417773e-19,0.01273819081935724,0.2776633154154142
1994-11-01,0.011675144286904148,0.054207444112920104,0.08165556387425751,1.8420602250172683e-19,1.589307643532656e-19,0.10189008065317182,0.35908133199792325,0.09016568185430936,3.7705051213674636e-19,0.019078094031706013,0.2822466591888079
1994-12-01,0.011062549674437004,0.050029048671456335,0.09014957334004302,1.8856713855866464e-19,1.2935548832984254e-19,0.09955689491379488,0.35602947183431827,0.08912147812811021,3.1909178295428133e-19,0.020367193358069826,0.2836837900797705
1995-01-03,0.009324797968484705,0.05175138140092724,0.08639307700109698,1.773174484383007e-19,9.543309805045968e-20,0.09953863801611645,0.35782472748742206,0.08809423967142267,3.014591256500865e-19,0.021529930557842216,0.2855432078966877
1995-02-01,0.008580415852283977,0.051846138344384445,0.0885901344217256,1.7244529047251549e-19,7.565936928941579e-20,0.09784631352978741,0.35556239411104495,0.08583666382905324,2.8598989227655225e-19,0.023861006609514106,0.2878769333022063
1995-03-01,0.009273803772617436,0.0527863558445051,0.08409607890197253,1.6042247372404485e-19,1.0428324246184817e-19,0.10051269221543671,0.3514673237029569,0.08482832588004553,2.914192163925549e-19,0.023340717687336365,0.29369470199512937
1995-04-03,0.010362509452541808,0.05273914425377934,0.0821058753936531,1.1972894540858273e-19,1.239831634831435e-19,0.09919220964734213,0.34689579994890407,0.08508935401649578,2.719092043559547e-19,0.025218567143036583,0.2983965401442471
